item	itemLabel	stateLabel	website	population
http://www.wikidata.org/entity/Q104994	Los Angeles County	California	http://www.lacounty.gov	10017068
http://www.wikidata.org/entity/Q108143	San Diego County	California	http://www.sandiegocounty.gov	3211252
http://www.wikidata.org/entity/Q5925	Orange County	California	http://www.ocgov.com/	3114363
http://www.wikidata.org/entity/Q108111	Riverside County	California	http://www.countyofriverside.us	2292507
http://www.wikidata.org/entity/Q108053	San Bernardino County	California	http://www.sbcounty.gov	2088371
http://www.wikidata.org/entity/Q110739	Santa Clara County	California	http://www.sccgov.org/	1862041
http://www.wikidata.org/entity/Q107146	Alameda County	California	http://www.acgov.org	1578891
http://www.wikidata.org/entity/Q108131	Sacramento County	California	http://www.saccounty.net	1462131
http://www.wikidata.org/entity/Q108058	Contra Costa County	California	http://www.contracosta.ca.gov	1094205
http://www.wikidata.org/entity/Q271915	Fresno County	California	http://www.co.fresno.ca.us	955272
http://www.wikidata.org/entity/Q13188841	San Francisco County	California	http://sf.gov/	864816
http://www.wikidata.org/entity/Q108047	Kern County	California	http://www.co.kern.ca.us	864124
http://www.wikidata.org/entity/Q108127	Ventura County	California	http://www.countyofventura.org	839620
http://www.wikidata.org/entity/Q108101	San Mateo County	California	http://www.smcgov.org	747373
http://www.wikidata.org/entity/Q108499	San Joaquin County	California	http://www.sjgov.org	704379
http://www.wikidata.org/entity/Q108503	Stanislaus County	California	http://www.co.stanislaus.ca.us	525491
http://www.wikidata.org/entity/Q108067	Sonoma County	California	https://sonomacounty.ca.gov	495025
http://www.wikidata.org/entity/Q109686	Tulare County	California	http://www.co.tulare.ca.us	454143
http://www.wikidata.org/entity/Q108106	Santa Barbara County	California	http://www.countyofsb.org	435697
http://www.wikidata.org/entity/Q108072	Monterey County	California	http://www.co.monterey.ca.us	428826
http://www.wikidata.org/entity/Q108083	Solano County	California	http://www.solanocounty.com	424788
http://www.wikidata.org/entity/Q156353	Placer County	California	http://www.placer.ca.gov/	367309
http://www.wikidata.org/entity/Q49014	San Luis Obispo County	California	http://www.co.slo.ca.us	276443
http://www.wikidata.org/entity/Q108122	Santa Cruz County	California	http://www.co.santa-cruz.ca.us	269419
http://www.wikidata.org/entity/Q109690	Merced County	California	http://www.co.merced.ca.us	263228
http://www.wikidata.org/entity/Q108117	Marin County	California	http://www.co.marin.ca.us	258365
http://www.wikidata.org/entity/Q156181	Butte County	California	http://www.buttecounty.net	222090
http://www.wikidata.org/entity/Q109709	Yolo County	California	http://www.yolocounty.org/	204593
http://www.wikidata.org/entity/Q108093	El Dorado County	California	http://www.edcgov.us	181737
http://www.wikidata.org/entity/Q156350	Shasta County	California	http://www.co.shasta.ca.us	178980
http://www.wikidata.org/entity/Q169952	Imperial County	California	http://www.co.imperial.ca.us/	176584
http://www.wikidata.org/entity/Q109661	Madera County	California	http://www.madera-county.com	152389
http://www.wikidata.org/entity/Q156358	Kings County	California	http://www.countyofkings.com	150960
http://www.wikidata.org/entity/Q108137	Napa County	California	http://www.countyofnapa.org	140326
http://www.wikidata.org/entity/Q109651	Humboldt County	California	http://co.humboldt.ca.us	134493
http://www.wikidata.org/entity/Q109681	Nevada County	California	http://www.mynevadacounty.com	98200
http://www.wikidata.org/entity/Q156377	Sutter County	California	http://www.co.sutter.ca.us	95350
http://www.wikidata.org/entity/Q108087	Mendocino County	California	https://www.mendocinocounty.org/	87192
http://www.wikidata.org/entity/Q196014	Yuba County	California	http://www.co.yuba.ca.us	73340
http://www.wikidata.org/entity/Q156361	Lake County	California	http://www.co.lake.ca.us	63860
http://www.wikidata.org/entity/Q109705	Tehama County	California	http://www.co.tehama.ca.us	63057
http://www.wikidata.org/entity/Q109656	San Benito County	California	http://www.san-benito.ca.us	57600
http://www.wikidata.org/entity/Q156346	Tuolumne County	California	http://www.tuolumnecounty.ca.gov	53874
http://www.wikidata.org/entity/Q271613	Calaveras County	California	http://www.co.calaveras.ca.us	44515
http://www.wikidata.org/entity/Q156374	Siskiyou County	California	http://www.co.siskiyou.ca.us	43799
http://www.wikidata.org/entity/Q156177	Amador County	California	http://www.co.amador.ca.us	36519
http://www.wikidata.org/entity/Q156340	Lassen County	California	http://www.co.lassen.ca.us	32163
http://www.wikidata.org/entity/Q271601	Glenn County	California	http://www.countyofglenn.net	27940
http://www.wikidata.org/entity/Q156186	Del Norte County	California	http://www.co.del-norte.ca.us	27873
http://www.wikidata.org/entity/Q271609	Colusa County	California	http://www.countyofcolusa.org	21358
http://www.wikidata.org/entity/Q156342	Plumas County	California	http://www.countyofplumas.com	18859
http://www.wikidata.org/entity/Q109670	Inyo County	California	http://www.countyofinyo.org	18467
http://www.wikidata.org/entity/Q156191	Mariposa County	California	http://www.mariposacounty.org	17755
http://www.wikidata.org/entity/Q156366	Mono County	California	http://www.monocounty.ca.gov	14074
http://www.wikidata.org/entity/Q156188	Trinity County	California	http://www.trinitycounty.org	13448
http://www.wikidata.org/entity/Q109695	Modoc County	California	http://www.co.modoc.ca.us	9147
http://www.wikidata.org/entity/Q156370	Sierra County	California	http://www.sierracounty.ca.gov	3047
http://www.wikidata.org/entity/Q108077	Alpine County	California	http://www.alpinecountyca.gov	1159
